Case,Date,County,Company,Occupation,Agency,Violation,Trade,Outcome,Outcometype,Quantity
391FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of Highway Patrol ," Apprenticeship, Holiday Pay Violation, Overtime, Paid Private Rates, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
392FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of Highway Patrol ," Apprenticeship, Holiday Pay Violation, Overtime, Paid Private Rates, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
393FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of Highway Patrol ," Apprenticeship, Holiday Pay Violation, Overtime, Paid Private Rates, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
348ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Salem Engineering Group, Inc. dba Salem Well Drilling",Testing & Inspection , California Department of Transportation ," Apprenticeship, Paid Private Rates, Streets & Highways Code 670.1 ", Operators,Collection,DLSE ,"1,281.95"
361ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Sinclair General Engineering Construction, Inc.",Underground , Modesto City Schools , Misclassification , Operators,Collection,Contractor ,"1,576.71"
361ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Sinclair General Engineering Construction, Inc.",Underground , Modesto City Schools , Misclassification , Operators,Complaint,Contractor,
349FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","South Bay Landscaping, Inc.",Concrete Construction , City of Hanford ," Apprenticeship, Misclassification, Overtime, Subsistence, Travel Pay "," Cement Masons, Laborers, Operators",Collection,Awarding Agency ,"2,176.32"
301FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Steelex Industrial, Inc.",Concrete Construction , Fairfax School District , License Issues ," Iron Workers, Laborers, Operators",Assessment,CSLB ,500
354FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Steelex Industrial, Inc.",Fencing , Porterville Unified School District ," Apprenticeship, Failure to Pay Prevailing Wages, Misclassification "," Iron Workers, Laborers",Assessment,DLSE ,"40,091.46"
388FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",STW Construction,Street & Road , Merced County Housing Authority ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
350FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Sunset Landscapes, Inc.",Site Work/Concrete Construction , City of Kerman ," Apprenticeship, Failure to Pay Prevailing Wages, Misclassification, Travel Pay "," Carpenters, Laborers, Operators",Collection,Awarding Agency ,"7,400.15"
329FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","The Plumbing Co., Inc.",Building Construction , State of California Department of General Services ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Collection,DLSE ,"68,933.03"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Triple C, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Assessment,DLSE ,"91,061.38"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Triple C, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Collection,DLSE ,"36,359.72"
362ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Triple C, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Laborers, Operators",Assessment,DLSE ,"7,203.18"
362ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Triple C, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Laborers, Operators",Collection,DLSE ,"7,203.18"
379ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Truitt Oilfied Maintenance Corporation,Concrete Construction , California Department of Transportation ," Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Complaint,DLSE,
165FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Truxell & Valentino Landscape Development, Inc.",Concrete Construction , Clovis Unified School District , Misclassification ," Cement Masons, Laborers, Operators",Collection,DLSE ,"90,000.00"
303FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Valley Vanguard Properties, Inc.",Street & Road , California Department of Transportation ," Paid Private Rates, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Collection,DLSE ,"14,122.06"
329FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Wills Rebar, Inc.",Building Construction , State of California Department of General Services , Apprenticeship , Iron Workers,Collection,DLSE ,212.58
329FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Wills Rebar, Inc.",Building Construction , State of California Department of General Services , Apprenticeship , Iron Workers,Complaint,DLSE,
1156SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",AMPCO Contracting Inc.,Demolition , City of Citrus Heights ," Fringe Benefits, Incorrect Rates "," Laborers, Operators",Complaint,DLSE,
1156SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",AMPCO Contracting Inc.,Demolition , City of Citrus Heights ," Fringe Benefits, Incorrect Rates "," Laborers, Operators",Complaint,EDD,
1099SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Andrew Nauman's Painting,Building Construction , City of Yuba City ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime ", Laborers,Collection,DLSE ,"1,518.86"
1050SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Apex Directional Drilling, LLC",Underground , US Department of Commerce ," Apprenticeship, Misclassification, Overtime "," Laborers, Operators",Assessment,DLSE ,"75,668.34"
1134SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Berger Concrete, Inc.",Concrete Construction , City of Davis ," Apprenticeship, Misclassification, Overtime, Subsistence, Travel Pay "," Cement Masons, Laborers",Complaint,DLSE,
1137SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Blue Flame Crew West, LLC",Underground , County of Sacramento ," Apprenticeship, Fringe Benefits, Overtime "," Laborers, Operators",Complaint,Awarding Agency,
1099SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Cenchon Services Corporation dba Yuba City Glass,Site Work , City of Yuba City ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime ", Laborers,Collection,DLSE ,502.4
1156RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Compass Consulting Incorporated,Surveying , Siskiyou Community College District , License Issues , Operators,Complaint,Board of Professional Engineers/Surveyors,
1156RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Compass Consulting Incorporated,Surveying , Siskiyou Community College District , License Issues , Operators,Complaint,EDD,
1152RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Construction Resource Management Group,Surveying , City of Loyalton , License Issues , Operators,Complaint,Board of Professional Engineers/Surveyors,
1152RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Construction Resource Management Group,Surveying , City of Loyalton , License Issues , Operators,Complaint,DLSE,
1152RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Construction Resource Management Group,Surveying , City of Loyalton , License Issues , Operators,Complaint,DLSE - Contractor Registration,
1099SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Cooper Construction,Concrete Construction , City of Yuba City ," Failure to Pay Prevailing Wages, Overtime "," Cement Masons, Laborers, Operators",Collection,DLSE ,"32,162.31"
1148SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Craig's Custom Carpentry,Site Work/Building Construction , City of Loyalton , License Issues ," Cement Masons, Laborers, Operators",Complaint,CSLB,
1148SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Craig's Custom Carpentry,Site Work/Building Construction , City of Loyalton , License Issues ," Cement Masons, Laborers, Operators",Complaint,DLSE,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Cross Development LLC c/o Tectonic Design Group,Surveying , California Department of Transportation , License Issues , Operators,Complaint,Board of Professional Engineers/Surveyors,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Cross Development LLC c/o Tectonic Design Group,Surveying , California Department of Transportation , License Issues , Operators,Complaint,DLSE,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Cross Development LLC c/o Tectonic Design Group,Surveying , California Department of Transportation , License Issues , Operators,Complaint,EDD,
1100SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",D M C E Concrete & Engineering Contractors,Concrete Construction , California Department of Transportation ," Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Collection,DLSE ,"2,076.89"
1142SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","De Vries Construction, Inc. dba Solano Construction",Demolition , City of Winters ," Apprenticeship, Fringe Benefits, Misclassification "," Laborers, Operators",Assessment,DLSE ,"11,177.66"
1142SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","De Vries Construction, Inc. dba Solano Construction",Demolition , City of Winters ," Apprenticeship, Fringe Benefits, Misclassification "," Laborers, Operators",Complaint,DLSE,
936SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Dick Emard Electric, Inc. dba Emard Electric",Underground , City of Lincoln ," Fringe Benefits, IWC 16 "," Laborers, Operators",Collection,Lawsuit ,"50,625.00"
1143SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Douglas Built Construction Incorporated,Concrete Construction , County of Sacramento , Workers Compensation ," Cement Masons, Laborers, Operators",Complaint,CSLB,
1086SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Duke Sherwood Contracting, Inc.",Street & Road , California Department of Transportation ," Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Collection,DLSE ,"13,708.93"
1154ST,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Dun-Rite Excavating, Inc.",Street & Road , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1, Subsistence, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1132SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Dunton Construction Company, Inc.",Site Work/Concrete Construction , City of Yuba City ," Misclassification, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Eddie Axner Construction, Inc.",Site Work , California Department of Transportation ," Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Complaint,DLSE,
970SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Fagundes & Son, Inc.",Site Work , City of Galt ," Fringe Benefits, IWC 16, Overtime "," Laborers, Operators",Collection,Lawsuit ,"20,000.00"
1157RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Freddi's Grading & Paving A Division of Wopahoe Construction, Inc.",Grading and Paving , Siskiyou Community College District , Tax Issues ," Cement Masons, Laborers, Operators",Complaint,EDD,
1154ST,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Gino/Giuseppe, Inc. dba G & G Construction Co.",Street & Road/Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1, Subsistence, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
1149SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Grizzly Creek Electric Co.,Electrical Construction , City of Loyalton ," Apprenticeship, Contractor Registration, Failure to Pay Prevailing Wages, Overtime "," Electricians, Laborers",Complaint,DLSE,
1099SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","H & H Trenching, Inc.",Underground , City of Yuba City ," Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Collection,DLSE ,"135,204.26"
1050SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Hansen Bros. Enterprises,Underground , US Department of Commerce ," Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1146SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",James White Construction,Concrete Construction , City of Loyalton , Outstanding Judgments ," Cement Masons, Laborers, Operators",Complaint,CSLB,
1146SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",James White Construction,Concrete Construction , City of Loyalton , Outstanding Judgments ," Cement Masons, Laborers, Operators",Complaint,DLSE,
1147SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",James White Construction,Concrete Construction , City of Loyalton ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime "," Cement Masons, Laborers, Operators",Complaint,DLSE,
1086SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Jones & Jones Concrete Construction, Inc.",Street & Road , California Department of Transportation ," Apprenticeship, Paid Private Rates, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Collection,DLSE ,"5,687.52"
1024SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","JRCC, Inc. dba JR Concrete",Concrete Construction , State of California Department of General Services ," Bounced Checks/Insufficient Funds, Cash Pay, Failure to Pay, Prevailing Wages "," Cement Masons, Laborers, Operators",Collection,DLSE ,"12,861.79"
1024SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","JRCC, Inc. dba JR Concrete",Concrete Construction , State of California Department of General Services ," Bounced Checks/Insufficient Funds, Cash Pay, Failure to Pay, Prevailing Wages "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"15,000.00"
1031SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","JRCC, Inc. dba JR Concrete",Concrete Construction , Los Rios Community College District ," Cash Pay, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"15,000.00"
1032SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","JRCC, Inc. dba JR Concrete",Concrete Construction , Marysville Joint Unified School District ," Cash Pay, Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"15,000.00"
981SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Kings Drywall, Inc. dba Kings Construction Group",Concrete Construction , University of California at Davis ," Tax Issues, Workers Compensation "," Laborers, Operators",Collection,District Attorney ,"91,666.66"
1154RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Kreth Handymen,Building Construction , City of Loyalton ," Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay "," Carpenters, Cement Masons, Laborers, Operators",Complaint,DLSE,
1154RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Kreth Handymen,Building Construction , City of Loyalton ," Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay "," Carpenters, Cement Masons, Laborers, Operators",Complaint,DLSE - Contractor Registration,
1132SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","L. V. Butcher Paving, Inc.",Grading and Paving , City of Yuba City ," Failure to Pay Prevailing Wages, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1145SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",MAMC Construction,Concrete Construction , Franklin Elementary School District , Contractor Registration ," Laborers, Operators",Complaint,DLSE - Contractor Registration,
1050SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",McKuin Pipeline Inc.,Underground , US Department of Commerce ," Misclassification, Overtime, Travel Pay "," Laborers, Operators",Assessment,DLSE ,"41,269.59"
1050SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",McKuin Pipeline Inc.,Underground , US Department of Commerce ," Misclassification, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
1155RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","MJ Shelton General Engineering, Inc.",Site Work , California Fair Services Authority ," Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay "," Cement Masons, Iron Workers, Laborers, Operators",Complaint,DLSE,
1131SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",MJT Enterprises Inc. dba Blue Ribbon Personnel Services,Site Work , Not Assigned , License Issues ," Cement Masons, Laborers, Operators",Complaint,CSLB,
1131SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",MJT Enterprises Inc. dba Blue Ribbon Personnel Services,Site Work , Not Assigned , License Issues ," Cement Masons, Laborers, Operators",Complaint,DLSE,
1155RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","North Valley Building Systems, Inc.",Site Work , California Fair Services Authority ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime "," Cement Masons, Iron Workers, Laborers, Operators",Complaint,DLSE,
941SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Odyssey Landscaping Company, Inc.",Concrete Construction , El Dorado Hills Community Services District ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
957SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Odyssey Landscaping Company, Inc.",Site Work , City of Galt ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
961SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Odyssey Landscaping Company, Inc.",Concrete Construction , City of Sacramento Economic Development Department ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
1140SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Olympic Land - Construction,Concrete Construction , San Juan Unified School District ," Apprenticeship, Misclassification "," Cement Masons, Laborers",Complaint,DLSE,
1043SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","PBM Construction, Inc.",Site Work , City of Roseville ," Fringe Benefits, Misclassification, Overtime "," Laborers, Operators",Collection,Awarding Agency ,854.25
1099SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Perfection Electric Company,Electrical Construction , City of Yuba City ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime "," Electricians, Laborers",Collection,DLSE ,"81,998.70"
974RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Prudent Technologies, Inc.",Underground , City of Redding , Misclassification ," Laborers, Operators",Collection,Contractor ,"6,009.12"
1139SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Recreation Science, Inc.",Reinforcing Steel , Auburn Recreation District ," Apprenticeship, Misclassification, Overtime "," Iron Workers, Laborers",Collection,Contractor ,"1,474.58"
1139SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Recreation Science, Inc.",Reinforcing Steel , Auburn Recreation District ," Apprenticeship, Misclassification, Overtime "," Iron Workers, Laborers",Complaint,DLSE,
1150SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Roger Cook,Electrical Construction , City of Sacramento ," Apprenticeship, Misclassification, Underreporting of Hours, Underreporting of Workers "," Electricians, Laborers, Operators",Complaint,DLSE,
1164ST,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",Rumex Construction Corporation,Site Work/Underground , State of California Department of Highway Patrol ," Apprenticeship, Holiday Pay Violation, Overtime, Paid Private Rates, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
1140SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Site Grading & Paving, Inc.",Grading and Paving , San Juan Unified School District , Workers Compensation ," Laborers, Operators",Complaint,CSLB,
1140SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Site Grading & Paving, Inc.",Grading and Paving , San Juan Unified School District , Workers Compensation ," Laborers, Operators",Complaint,EDD,
981RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","SK & Sons, Inc. dba SK Construction",Site Work/Building Construction , Cascade Union Elementary School District , Expired Rates ," Cement Masons, Laborers, Operators",Collection,DLSE ,"5,216.23"
989RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",SNL Group Inc.,Underground , City of Redding , Travel Pay ," Laborers, Operators",Complaint,DLSE,
989RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,",SNL Group Inc.,Underground , City of Redding , Travel Pay ," Laborers, Operators",Complaint,EDD,
1158RD,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Stout Building Contractors California, Inc.",Street & Road , California Department of Transportation ," Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 "," Carpenters, Operators",Complaint,DLSE,
1141SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Swan Engineering, Inc.",Underground , County of Yuba , Fringe Benefits ," Cement Masons, Laborers, Operators",Complaint,DLSE,
1144SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Swan Engineering, Inc.",Site Work , San Juan Unified School District , Fringe Benefits ," Laborers, Operators",Complaint,DLSE,
1144SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Swan Engineering, Inc.",Site Work , San Juan Unified School District , Fringe Benefits ," Laborers, Operators",Complaint,DLSE - Contractor Registration,
1144SAC,4/28/2015,"BUTTE, COLUSA, EL DORADO, GLENN, LASSEN, MODOC, NEVADA, PLACER, PLUMAS,","Swan Engineering, Inc.",Site Work , San Juan Unified School District , Fringe Benefits ," Laborers, Operators",Lawsuit,Superior Court,
